ID,Species
Specimen1,Stenobrachius leucopsarus
Specimen2,Diaphus theta
Specimen3,Diaphus theta
Specimen4,Diaphus theta
Specimen5,Diaphus theta
Specimen6,Stenobrachius leucopsarus
Specimen7,Stenobrachius leucopsarus
Specimen8,Lampanyctus regalis
Specimen9,Stenobrachius leucopsarus
Specimen10,Stenobrachius leucopsarus
Specimen11,Lampanyctus regalis
Specimen12,Stenobrachius leucopsarus
Specimen13,Stenobrachius leucopsarus
Specimen14,Stenobrachius leucopsarus
Specimen15,Diaphus theta
Specimen16,Diaphus theta
Specimen17,Diaphus theta
Specimen18,Diaphus theta
Specimen19,Diaphus theta
Specimen20,Diaphus theta
Specimen21,Diaphus theta
Specimen22,Diaphus theta
Specimen23,Diaphus theta
Specimen24,Diaphus theta
Specimen25,Stenobrachius leucopsarus
Specimen26,Stenobrachius leucopsarus
Specimen27,Stenobrachius leucopsarus
Specimen28,Stenobrachius leucopsarus
Specimen29,Stenobrachius leucopsarus
Specimen30,Stenobrachius leucopsarus
Specimen31,Stenobrachius leucopsarus
Specimen32,Stenobrachius leucopsarus
Specimen33,Stenobrachius leucopsarus
Specimen34,Diaphus theta
Specimen35,Diaphus theta
Specimen36,Diaphus theta
Specimen37,Diaphus theta
Specimen38,Diaphus theta
Specimen39,Diaphus theta
Specimen40,Diaphus theta
Specimen41,Lampanyctus regalis
Specimen42,Lampanyctus regalis
Specimen43,Lampanyctus regalis
Specimen44,Lampanyctus regalis
Specimen45,Lampanyctus regalis
Specimen46,Lampanyctus regalis
Specimen47,Lampanyctus regalis
Specimen48,Lampanyctus regalis
Specimen49,Lampanyctus regalis
Specimen50,Stenobrachius leucopsarus
Specimen51,Diaphus theta
Specimen52,Lampanyctus ritteri
Specimen53,Lampanyctus ritteri
Specimen54,Lampanyctus ritteri
Specimen55,Lampanyctus ritteri
Specimen56,Lampanyctus ritteri
Specimen57,Lampanyctus ritteri
Specimen58,Lampanyctus ritteri
Specimen59,Tactostoma macropus
Specimen60,Tactostoma macropus
Specimen61,Chauliodus macouni
Specimen62,Chauliodus macouni
Specimen63,Chauliodus macouni
Specimen64,Chauliodus macouni
Specimen65,Stenobrachius leucopsarus
Specimen66,Stenobrachius leucopsarus
Specimen67,Stenobrachius leucopsarus
Specimen68,Bathophilus flemingi
Specimen69,Tactostoma macropus
Specimen70,Tactostoma macropus
Specimen71,Tactostoma macropus
Specimen72,Tactostoma macropus
Specimen73,Chauliodus macouni
Specimen74,Chauliodus macouni
Specimen75,Chauliodus macouni
Specimen76,Chauliodus macouni
Specimen77,Chauliodus macouni
Specimen78,Chauliodus macouni
Specimen79,Benthalbella dentata
Specimen80,Arctozenus risso
Specimen81,Arctozenus risso
Specimen82,Arctozenus risso
Specimen83,Arctozenus risso
Specimen84,Arctozenus risso
Specimen85,Arctozenus risso
Specimen86,Diaphus theta
Specimen87,Diaphus theta
Specimen88,Diaphus theta
Specimen89,Diaphus theta
Specimen90,Stenobrachius leucopsarus
Specimen91,Stenobrachius leucopsarus
Specimen92,Stenobrachius leucopsarus
Specimen93,Stenobrachius leucopsarus
Specimen94,Protomyctophum thompsoni
Specimen95,Protomyctophum thompsoni
Specimen96,Protomyctophum thompsoni
Specimen97,Stenobrachius leucopsarus
Specimen98,Symbolophorus californiensis
Specimen99,Symbolophorus californiensis
Specimen100,Symbolophorus californiensis
Specimen101,Lycodapus spp.
Specimen102,Lycodapus spp.
Specimen103,Lycodapus spp.
Specimen104,Lycodapus spp.
Specimen105,Lycodapus spp.
Specimen106,Lycodapus spp.
Specimen107,Lycodapus spp.
Specimen108,Lycodapus spp.
Specimen109,Nansenia spp.
Specimen110,Nansenia spp.
Specimen111,Nansenia spp.
Specimen112,Nansenia spp.
Specimen113,Nansenia spp.
Specimen114,Nansenia spp.
Specimen115,Nansenia spp.
Specimen116,Nansenia spp.
Specimen117,Nansenia spp.
Specimen118,Nansenia spp.
Specimen119,Tarletonbeania crenularis
Specimen120,Tarletonbeania crenularis
Specimen121,Tarletonbeania crenularis
Specimen122,Tarletonbeania crenularis
Specimen123,Tarletonbeania crenularis
Specimen124,Tarletonbeania crenularis
Specimen125,Tarletonbeania crenularis
Specimen126,Tarletonbeania crenularis
Specimen127,Tarletonbeania crenularis
Specimen128,Tarletonbeania crenularis
Specimen129,Nansenia spp.
Specimen130,Stenobrachius leucopsarus
Specimen131,Nansenia spp.
Specimen132,Nansenia spp.
Specimen133,Lampanyctus regalis
Specimen134,Stenobrachius leucopsarus
Specimen135,Lampanyctus regalis
Specimen136,Lampanyctus regalis
Specimen137,Lampanyctus regalis
Specimen138,Lampanyctus regalis
Specimen139,Lampanyctus regalis
Specimen140,Nansenia spp.
Specimen141,Bathylagus pacificus
Specimen142,Bathylagus pacificus
Specimen143,Bathylagus pacificus
Specimen144,Psuedobathylagus milleri
Specimen145,Symbolophorus californiensis
Specimen146,Lampanyctus regalis
Specimen147,Stenobrachius nannochir
Specimen148,Stenobrachius nannochir
Specimen149,Stenobrachius nannochir
Specimen150,Tarletonbeania crenularis
Specimen151,Tarletonbeania crenularis
Specimen152,Tarletonbeania crenularis
Specimen153,Tarletonbeania crenularis
Specimen154,Tarletonbeania crenularis
Specimen155,Tarletonbeania crenularis
Specimen156,Tarletonbeania crenularis
Specimen157,Tarletonbeania crenularis
Specimen158,Tarletonbeania crenularis
